1622320601,s,p,blobs,50000,2,0.34207,0.10472
1622320625,s,p,blobs,50000,2,0.3371,0.10572
1622320634,s,p,blobs,50000,2,0.34109,0.10273
1622320645,s,p,blobs,50000,2,0.34109,0.10771
1622320659,s,p,blobs,50000,2,0.33909,0.10671
1622320666,s,p,blobs,50000,2,0.3371,0.10372
1622320673,s,p,blobs,50000,2,0.34308,0.10572
1622320691,s,p,blobs,50000,2,0.3371,0.10273
1622320717,s,p,blobs,50000,2,0.34109,0.10572
1622320725,s,p,blobs,50000,2,0.34308,0.10472
1622320744,s,p,blobs,30000,2,0.28324,0.0748
1622320751,s,p,blobs,30000,2,0.27526,0.07679
1622320759,s,p,blobs,30000,2,0.26828,0.07281
1622320768,s,p,blobs,30000,2,0.30718,0.0758
1622320793,s,p,blobs,30000,2,0.26429,0.06882
1622320798,s,p,blobs,30000,2,0.26529,0.06782
1622320803,s,p,blobs,30000,2,0.26926,0.07081
1622320812,s,p,blobs,30000,2,0.26629,0.07181
1622320877,s,p,blobs,30000,2,0.27826,0.0748
1622320894,s,p,blobs,30000,2,0.26928,0.06981
1622320906,s,p,blobs,10000,2,0.19747,0.0379
1622320915,s,p,blobs,10000,2,0.19747,0.03989
1622320924,s,p,blobs,10000,2,0.1975,0.03992
1622320930,s,p,blobs,10000,2,0.19847,0.0389
1622320937,s,p,blobs,10000,2,0.19548,0.03888
1622320943,s,p,blobs,10000,2,0.19448,0.0359
1622320949,s,p,blobs,10000,2,0.19248,0.0379
1622320963,s,p,blobs,10000,2,0.19548,0.0379
